798,798,798,798,798,798,798,798,798,798,798,798,798,798,798,798
862,862,862,862,862,862,862,862,862,862,862,862,862,862,862,862
862,1450,1451,1451,1451,1451,1451,1451,1451,1451,1451,1451,1451,1451,1451,862
862,1450,1450,1450,1450,1450,1451,1515,1515,1515,1515,1515,1515,1515,1515,925
925,1450,1451,1451,1514,1450,1450,1450,1451,552,554,555,556,556,557,925
925,1450,1451,1515,1451,1514,1514,1450,1451,616,618,619,620,620,621,925
925,1450,1451,1515,1515,1451,1451,1451,1451,616,682,683,684,620,685,925
925,1450,1451,1514,1515,1450,1450,1451,1515,616,746,747,748,620,749,925
925,1450,1451,1450,1450,1514,1450,1450,1451,616,810,811,812,620,813,925
925,1450,1450,1514,1514,1450,1451,1451,1451,616,620,620,620,620,749,925
925,1450,1451,1451,1451,1451,1451,1515,1515,872,876,876,876,876,877,925
925,1450,1451,1450,1451,1451,1451,1451,1450,1450,1450,1450,1450,1450,1451,925
925,1450,1451,1450,1450,1450,1451,1450,1450,1450,1450,1450,1451,1450,1451,925
925,1450,1451,1514,1514,1514,1515,1514,1514,1514,1514,1450,1451,1450,1451,925
925,1450,1450,1450,1450,1450,1514,1514,1515,1451,1451,1514,1515,1451,1451,925
925,1514,1514,1514,1514,1514,1514,1514,1515,1515,1515,1515,1515,1515,1515,925
989,989,989,989,989,989,989,989,989,989,989,989,989,989,989,989
